time,titles,tags
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=17, tm_min=34, tm_sec=23, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Разрешите себе плакать». Как справиться с паникой на фоне новостей о теракте в Москве — советы психолога,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=17, tm_min=25, tm_sec=8, tm_wday=5, tm_yday=83, tm_isdst=-1)",Досматривают тщательнее обычного. Что происходит в столичных аэропортах после теракта в «Крокусе»: фото,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=17, tm_min=25, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",МЧС начало разбирать завалы после теракта в «Крокус Сити Холле»: видео с места ЧП,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=17, tm_min=13, tm_sec=45, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Мы в полном шоке». Директор группы «Пикник» — о планах коллектива и пропавшем участнике,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Фикус-алкоголик — горе в офисе»: биолог рассказал, кто и зачем пытается подлить спиртное в комнатные растения","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=54, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",После теракта в Crocus City Hall не ввели режим контртеррористической операции. Зачем он нужен?,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=35, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Пострадавшим в теракте в «Крокусе» выплатят от 500 тысяч до 3 миллионов,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=20, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Количество погибших при теракте в Crocus City Hall увеличилось до 93 человек,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=19, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Я видела погибших и бежала»: предпринимательница рассказала, как выбиралась из «Крокус Сити Холла»","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=18, tm_sec=4, tm_wday=5, tm_yday=83, tm_isdst=-1)",Минздрав опубликовал список погибших при теракте в «Крокусе»: публикуем имена,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=11, tm_sec=10, tm_wday=5, tm_yday=83, tm_isdst=-1)",Путину сообщили о задержании 11 человек,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=4, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",В теракте в «Крокусе» пострадал 121 человек. Публикуем список,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=16, tm_min=2, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Мама и сестра пришли к гробу. Как в Москве прощаются с Василием Уткиным: онлайн-репортаж,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=41, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Подозреваемые в теракте в Crocus City Hall задержаны,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=40, tm_sec=14, tm_wday=5, tm_yday=83, tm_isdst=-1)",Иностранные лидеры и главы конфессий выразили свои соболезнования из-за теракта в Красногорске,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=38, tm_sec=53, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Стреляли в людей в упор»: всё, что сейчас известно о теракте в Crocus City Hall — в одном видео","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=33, tm_sec=42, tm_wday=5, tm_yday=83, tm_isdst=-1)","Шестеро на белом «Рено» и в камуфляже: что известно о террористах, устроивших побоище в Crocus City Hall","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Ему некогда было хулиганить»: учителя и школьные приятели Никиты Кологривого — о том, как прошла его юность","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=15, tm_min=3, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Иркутские театры отменили спектакли 23 и 24 марта в связи с терактом в Москве,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=14, tm_min=52, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",В Иркутске появился мемориал в память о погибших в теракте в Москве,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=14, tm_min=45, tm_sec=4, tm_wday=5, tm_yday=83, tm_isdst=-1)","ВЦИОМ узнал, как россияне доверяют политикам","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=13, tm_min=57, tm_sec=36, tm_wday=5, tm_yday=83, tm_isdst=-1)",Забитые парковки и фудкорты. Что происходит в иркутских торговых центрах после теракта в Москве,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=13, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Обвинили в ненависти к Дагестану»: как поиски пропавшей студентки из Ростова зашли в тупик,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=13, tm_min=29, tm_sec=53, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Там труп, там пять». Что происходило у Crocus City Hall после теракта: репортаж с места событий","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=13, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Число убитых при теракте в Crocus City Hall возросло до 115. Онлайн-трансляция,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=13, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Не верили, что это сделали дети»: два школьника устроили на кухне свечной заводик — ради заказов они работали по ночам","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=12, tm_min=35, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Иркутск скорбит по погибшим в теракте в Москве: на рекламных экранах «зажгли» свечу,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=12, tm_min=21, tm_sec=54, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Люди падали, по ним бежали»: очевидцы рассказали, что происходило в момент стрельбы в Crocus City Hall","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
